,Date,Worth,Day,Label
0,30-12-2017,4,Sat,holiday
1,31-12-2017,4,Sun,holiday
2,01-01-2018,2.5,Mon,"kirtan, holiday"
3,02-01-2018,3.75,Tue,holiday
4,03-01-2018,4,Wed,holiday
5,04-01-2018,0.5,Thu,holiday
6,05-01-2018,4.5,Fri,holiday
7,06-01-2018,1.5,Sat,holiday
8,07-01-2018,0.25,Sun,holiday
9,08-01-2018,2.75,Mon,
10,09-01-2018,2.5,Tue,
11,10-01-2018,2.5,Wed,
12,11-01-2018,1.5,Thu,
